Price,Details,Title,Location
"₹ 3,000",2 BHK - 1 Bathroom - 1000 sqft,Flate mate,"RAJEEV NAGAR, BHOPAL"
"₹ 3,500",2 BHK - 2 Bathroom - 100 sqft,1 room in a 2 bhk non-independent flat is available for girls only.,"INDRAPURI C SECTOR, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 1350 sqft,2 bhk duplex for rent,"NARILA SHANKARI DURGESH VIHAR COLONY, BHOPAL"
"₹ 12,000",2 BHK - 1 Bathroom - 850 sqft,"2BHK semi furnished apartment for rent, only for Girls and family.","NARILA SHANKARI BHAWANI DHAM SOCIETY, BHOPAL"
"₹ 11,000",2 BHK - 2 Bathroom - 1000 sqft,2bhk flat for rent in danish kunj near by jk Hospitel in kolar road,"KOLAR ROAD, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 1200 sqft,2bhk for rent Duplex part posan Danish kunj Kolar Road,"KOLAR ROAD, BHOPAL"
"₹ 9,800",2 BHK - 2 Bathroom - 1000 sqft,Duplex 2bhk rent,"KOLAR ROAD, BHOPAL"
"₹ 9,000",2 BHK - 2 Bathroom - 900 sqft,2bhk partporsan for rent in very good condition mandakini colony,"KOLAR ROAD, BHOPAL"
"₹ 25,000",2 BHK - 3 Bathroom - 1760 sqft,2 BHK premium bunglow for Rent to family,"AWADHPURI, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 600 sqft,For Rent in Mahabali nagar near 6 lane main road,"KOLAR ROAD, BHOPAL"
"₹ 10,500",2 BHK - 2 Bathroom - 1200 sqft,2 BHK house for Rent,"KATARA HILLS, BHOPAL"
"₹ 11,500",2 BHK - 1 Bathroom - 720 sqft,2BHK INDIPENDENT FLAT FOR RENT,"INDRAPURI C SECTOR, BHOPAL"
"₹ 6,000",2 BHK - 1 Bathroom - 650 sqft,2 bhk flat are available for rent,"KAROD KALAN, BHOPAL"
"₹ 8,000",2 BHK - 2 Bathroom - 800 sqft,2BHK Flat Rent out at REGAL Town Awadhpuri Bhopal,"AWADHPURI, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 470 sqft,2 bhk flat for girls only,"KAMLA NAGAR, BHOPAL"
"₹ 17,000",2 BHK - 2 Bathroom - 700 sqft,Newly 2 bhk flat fully furnished in bawaria,"BAWARIA KALAN, BHOPAL"
"₹ 6,000",2 BHK - 2 Bathroom - 740 sqft,HOME RENT for 1st floor [Lambakheda)sharda nagar,"BAGH, BHOPAL"
"₹ 3,000",2 BHK - 1 Bathroom - 1000 sqft,Room on rent (only for single male),"AWADHPURI, BHOPAL"
"₹ 8,000",2 BHK - 2 Bathroom - 600 sqft,"2 bhk flat ,2 nd floor , independent , covered campus","KATARA HILLS, BHOPAL"
"₹ 7,000",2 BHK - 1 Bathroom - 600 sqft,singlex rent new buildup indipendent house,"KAROD KALAN, BHOPAL"
"₹ 2,500",2 BHK - 2 Bathroom - 800 sqft,2 BHK flat one room for rent,"KOLAR ROAD, BHOPAL"
"₹ 10,000",2 BHK - 1 Bathroom - 1200 sqft,Semi furnished flat,"NARILA SHANKARI BHAWANI DHAM SOCIETY, BHOPAL"
"₹ 12,000",2 BHK - 1 Bathroom - 1000 sqft,Independent furnished 2bhk ground floor flat available for rent,"INDRAPURI, BHOPAL"
"₹ 11,000",2 BHK - 2 Bathroom - 1000 sqft,2bhk semifurnished independent unit available for rent,"CHINAR FORUNE CITY, BHOPAL"
"₹ 15,000",2 BHK - 2 Bathroom - 1300 sqft,2BHK SEMI FURNISHED SINGLE FOR RENT,"KOLAR ROAD, BHOPAL"
"₹ 27,00,000",2 BHK - 2 Bathroom - 900 sqft,2BHK SEMI FURNISHED FLAT FOR SALE,"KOLAR ROAD, BHOPAL"
"₹ 16,000",2 BHK - 2 Bathroom - 1800 sqft,3BHK SEMI FURNISHED DUPLEX COVERD CAMPUS FOR RENT,"AAKRITI ECOCITY, BHOPAL"
"₹ 7,000",2 BHK - 1 Bathroom - 800 sqft,Room for rent,"HOUSING BOARD COLONY, BHOPAL"
"₹ 3,500",2 BHK - 1 Bathroom - 1000 sqft,"Total rent 7000 dome, divide hoga rent to par person 3500 aayega","NARILA SHANKARI HAZRAT NIZAMUDDIN COLONY, BHOPAL"
"₹ 7,000",2 BHK - 1 Bathroom - 600 sqft,2 BHK for Rent,"DEEP NAGAR, BHOPAL"
"₹ 13,000",2 BHK - 2 Bathroom - 1800 sqft,2bhk partporsan for rent in sarvdharm D sector colony in kolar,"KOLAR ROAD, BHOPAL"
"₹ 7,000",2 BHK - 2 Bathroom - 700 sqft,"2BHK flat in awadhpuri Bhopal, Rent Negotiable, Vehicle ho to better.","AWADHPURI, BHOPAL"
"₹ 15,000",2 BHK - 3 Bathroom - 1770 sqft,rent for duplex,"KATARA HILLS, BHOPAL"
"₹ 7,000",2 BHK - 1 Bathroom - 900 sqft,Room for rent,"AYODHYA NAGAR, BHOPAL"
"₹ 3,500",2 BHK - 2 Bathroom - 0 sqft,Required female room partner,"BHANPURA, BHOPAL"
"₹ 8,000",2 BHK - 2 Bathroom - 800 sqft,"PG ,BACHELORS, FAMILY FULLY FURNISHED","KOLAR ROAD, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 1010 sqft,Good condition,"AYODHYA NAGAR, BHOPAL"
"₹ 7,000",2 BHK - 2 Bathroom - 600 sqft,Rooms for rent (new built up),"KAROD KALAN, BHOPAL"
"₹ 10,500",2 BHK - 2 Bathroom - 800 sqft,2bhk Duplex for rent part poshan parwati nagar mahabali Kolar,"KOLAR ROAD, BHOPAL"
"₹ 17,000",2 BHK - 2 Bathroom - 1210 sqft,"Near Aura Mall, Luxurious 2BHK flat for rent in Bawadia Kalan","BAWARIA KALAN, BHOPAL"
"₹ 9,500",2 BHK - 2 Bathroom - 1250 sqft,2bhk for rent,"BARKHERI, BHOPAL"
"₹ 7,000",2 BHK - 2 Bathroom - 750 sqft,Flat at Koh e fiza for rent,"KOH E FIZA, BHOPAL"
"₹ 2,500",2 BHK - 1 Bathroom - 500 sqft,I want share 1 badroom 2500 rs need only girls,"KAROD KALAN, BHOPAL"
"₹ 7,000",2 BHK - 1 Bathroom - 1200 sqft,Rooms available for rent hurry up,"NEGRI, BHOPAL"
"₹ 3,500",2 BHK - 2 Bathroom - 1200 sqft,I want a flatmate,"KAMLA NAGAR, BHOPAL"
"₹ 9,500",2 BHK - 2 Bathroom - 800 sqft,Rent for 2BHK flat at Prime Location Indrapuri,"INDRAPURI C SECTOR, BHOPAL"
"₹ 19,000",2 BHK - 1 Bathroom - 1000 sqft,2 bhk for rent (family and girls student),"KATARA HILLS, BHOPAL"
"₹ 4,000",2 BHK - 2 Bathroom - 0 sqft,"Need girl roommate, rental room/apartment","NARILA SHANKARI DURGESH VIHAR COLONY, BHOPAL"
"₹ 15,000",2 BHK - 2 Bathroom - 800 sqft,2bhk flat for rent,"PRABHU NAGAR, BHOPAL"
"₹ 8,000",2 BHK - 2 Bathroom - 900 sqft,House for rent Near Danish Kunj,"DANISH SQUARE, BHOPAL"
"₹ 5,000",2 BHK - 2 Bathroom - 800 sqft,"for boys or girls , seprat two wash room and two room free","BHANPURA, BHOPAL"
"₹ 36,00,000",2 BHK - 2 Bathroom - 1255 sqft,Flat for sale 36 Lacs,"BARWAI, BHOPAL"
"₹ 8,500",2 BHK - 1 Bathroom - 800 sqft,Flat for rent only for family and girls,"INDRAPURI C SECTOR, BHOPAL"
"₹ 5,000",,Available for Rent 2 BHK flat,"KATARA HILLS, BHOPAL"
"₹ 9,000",2 BHK - 2 Bathroom - 800 sqft,looking for a working female flatmate,"BAG SEWANIA, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 1100 sqft,2बीएचके फ्लैट फॉर रेंट ललिता लोटस हॉस्पिटल नगर कोलार रोड़,"KOLAR ROAD, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 1100 sqft,"2BHK flat for rent, Lalita 2 Nagar, Kolar Road","KOLAR ROAD, BHOPAL"
"₹ 3,500",2 BHK - 2 Bathroom - 1000 sqft,Room mate needed for ground floor 2bhk.,"KOLAR ROAD, BHOPAL"
"₹ 20,000",2 BHK - 2 Bathroom - 1150 sqft,"2 BHK Fully Furnished Flat for Rent in BHEL Sangam Bagmugaliya, Bhopal","BHEL SANGAM AND PRIYADESHINI COLONY, BHOPAL"
"₹ 5,000",2 BHK - 2 Bathroom - 845 sqft,Flat for rent,"MISROD, BHOPAL"
"₹ 3,500",2 BHK - 2 Bathroom - 1500 sqft,Finding flat mate,"RAJEEV NAGAR, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 1000 sqft,House for rent,"SINGARCHOLI, BHOPAL"
"₹ 5,000",2 BHK - 1 Bathroom - 500 sqft,Boy's and girls room avaliable for rent,"KOLAR ROAD, BHOPAL"
"₹ 5,000",2 BHK - 1 Bathroom - 800 sqft,2bhk for rent,"TAGORE NAGAR, BHOPAL"
"₹ 20,000",2 BHK - 2 Bathroom - 1100 sqft,"Fully Furnished 2BHK Flat for Rent in Lila Atulyam,Bhopal|Front Facing","AAKRITI ECOCITY, BHOPAL"
"₹ 3,000",2 BHK - 2 Bathroom - 500 sqft,Roompartner for indipendent 2 BHK in kalpana Nagar,"INDRAPURI, BHOPAL"
"₹ 5,000",2 BHK - 2 Bathroom - 1800 sqft,Flatmate required for 2bhk (preoccupied)(not for family),"PATEL NAGAR, BHOPAL"
"₹ 2,750",2 BHK - 2 Bathroom - 900 sqft,Female Flatmate,"KOLAR ROAD, BHOPAL"
"₹ 5,000",2 BHK - 1 Bathroom - 500 sqft,Sharing flat female flatmate required,"OLD MINAL RESIDENCY, BHOPAL"
"₹ 10,000",2 BHK - 3 Bathroom - 1000 sqft,House for rent,"AHMEDPUR KALAN, BHOPAL"
"₹ 8,500",2 BHK - 2 Bathroom - 750 sqft,Property junction,"BHANPURA, BHOPAL"
"₹ 5,000",2 BHK - 2 Bathroom - 1000 sqft,1 already living + 1(female) flatmate required - Urgent,"PANCHVATI, BHOPAL"
"₹ 3,500",2 BHK - 2 Bathroom - 800 sqft,"IBD HALLMARK CITY BHOPAL, PG, Room shareing","KOLAR ROAD, BHOPAL"
"₹ 9,000",2 BHK - 2 Bathroom - 900 sqft,2 BHK INDEPENDENT HOUSE FOR RENT,"KATARA HILLS, BHOPAL"
"₹ 2,500",2 BHK - 2 Bathroom - 700 sqft,Only Bachelor are allowed,"PATEL NAGAR, BHOPAL"
"₹ 16,000",2 BHK - 2 Bathroom - 1500 sqft,"2 BHK for Rent in Danish Nagar, Bhopal, near Aashima Mall, Hoshangabad","BAGH MUNGALIYA, BHOPAL"
"₹ 3,000",2 BHK - 2 Bathroom - 600 sqft,Need a female roommate,"NEW MINAL RESIDENCY, BHOPAL"
"₹ 14,000",2 BHK - 2 Bathroom - 1050 sqft,2bhk flat for rent please orchead Recidency Kolar road,"KOLAR ROAD, BHOPAL"
"₹ 2,500",2 BHK - 2 Bathroom - 1250 sqft,Only for rent,"KAROD KALAN, BHOPAL"
"₹ 13,000",2 BHK - 2 Bathroom - 1100 sqft,2 बीएचके फ्लैट फॉर रेंट बांसखेड़ी दानिश कुंज कोलार रोड,"KOLAR ROAD, BHOPAL"
"₹ 25,000",2 BHK - 2 Bathroom - 1050 sqft,2bhk fully furnished flat for rent Sai Bord 12 No.,"KOLAR ROAD, BHOPAL"
"₹ 16,000",2 BHK - 2 Bathroom - 1200 sqft,2bhk flat for rent in palace orchard colony prime location in kolar,"KOLAR ROAD, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 800 sqft,RENT 2 3 BHK FLAT property available,"NEW MINAL RESIDENCY, BHOPAL"
"₹ 10,000",2 BHK - 1 Bathroom - 600 sqft,Flat for rent,"INDRAPURI C SECTOR, BHOPAL"
"₹ 12,500",2 BHK - 2 Bathroom - 1050 sqft,2bhk/3bhk Independent flat for rent in Ayodhya bypass,"AYODHYA NAGAR, BHOPAL"
"₹ 7,000",2 BHK - 2 Bathroom - 1000 sqft,Semi furnished 2 bhk flat,"MISROD, BHOPAL"
"₹ 7,000",2 BHK - 2 Bathroom - 1000 sqft,"2 bhk house for rent in Regal homes,Awadhpuri","AWADHPURI, BHOPAL"
"₹ 4,000",2 BHK - 2 Bathroom - 1200 sqft,2 bhk independent flat for girls,"AWADHPURI, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 950 sqft,2bhk for rent partposhan bairagad chichali Kolar Road,"KOLAR ROAD, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 900 sqft,2 Bhk semifurnished Flat available for rent at prabhatam height,"PATEL NAGAR, BHOPAL"
"₹ 9,000",2 BHK - 2 Bathroom - 1200 sqft,For rent of ground floor,"KOLAR ROAD, BHOPAL"
"₹ 8,000",2 BHK - 2 Bathroom - 700 sqft,Rooms for rent,"KOLAR ROAD, BHOPAL"
"₹ 9,500",2 BHK - 1 Bathroom - 1212 sqft,Flat sharing partner needed.. Indrapuri C sector,"INDRAPURI C SECTOR, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 1100 sqft,2bhk flat for rent in Lalita nagar near D Mart in kolar road,"KOLAR ROAD, BHOPAL"
